Rank,Change,Player,School,Position,Height,Weight,Position2,Date
283,-7,Tommy Townsend,Florida,P,"6'2""",183,RSR,2020-01-03
284,-7,Damonte Coxie,Memphis,WRF,"6'3""",200,SR,2020-01-03
285,-7,Thomas Graham Jr.,Oregon,CB,"5'11""",191,JR,2020-01-03
286,-7,Isaiah Hodgins,Oregon State,WRF,"6'4""",209,JR,2020-01-03
287,-7,Deslin Alexandre,Pitt,DL5T,"6'4""",265,RSO,2020-01-03
288,-7,Colin Schooler,Arizona,ILB,"6'0""",236,JR,2020-01-03
289,-7,Bravvion Roy,Baylor,DL1T,6'1,330,SR,2020-01-03
290,-7,Kary Vincent Jr.,LSU,CB,"5'10""",182,JR,2020-01-03
291,-7,Patrick Taylor Jr.,Memphis,RBF,"6'3""",227,SR,2020-01-03
292,-7,Robert Landers,Ohio State,DL3T,"6'1""",285,SR,2020-01-03
293,-7,Nate Stanley,Iowa,QB,"6'4""",243,SR,2020-01-03
294,-7,Jahad Woods,Washington State,OLB,"6'0""",225,RJR,2020-01-03
295,-6,Tipa Galeai,Utah State,EDGE,"6'5""",230,SR,2020-01-03
296,+83,Gerold Bright,Utah State,RBC,"5'9""",195,SR,2020-01-03
297,+150,Cole Van Lanen,Wisconsin,OT,"6'5""",312,RJR,2020-01-03
298,-8,LaDarius Hamilton,North Texas,EDGE,"6'3""",255,SR,2020-01-03
299,-8,Anthony McFarland Jr.,Maryland,RBC,"5'8""",193,JR,2020-01-03
300,-8,Reggie Corbin,Illinois,RBF,"5'10""",200,JR,2020-01-03
301,+79,J.J. Taylor,Arizona,RBC,"5'6""",184,RJR,2020-01-03
302,-9,Josh Metellus,Michigan,S,"5'11""",215,SR,2020-01-03
303,-9,David Dowell,Michigan State,S,"6'1""",205,SR,2020-01-03
304,-9,Josiah Scott,Michigan State,CB,"5'10""",168,JR,2020-01-03
305,-9,Jared Rice,Fresno State,TE,"6'5""",243,SR,2020-01-03
306,-9,Jet Toner,Stanford,PK,"6'4""",201,SR,2020-01-03
307,-9,Kendrick Rogers,Texas A&M,WRF,6'4'',204,JR,2020-01-03
308,-9,Doug Costin,Miami (OH),DL3T,"6'2""",295,SR,2020-01-03
309,-9,Matt Peart,Connecticut,OT,"6'7""",303,RSR,2020-01-03
310,-9,Erroll Thompson,Mississippi State,ILB,"6'1""",250,JR,2020-01-03
311,NEW,DeeJay Dallas,Miami (FL),RBF,"5'10""",214,JR,2020-01-03
312,-9,Spencer Brown,UAB,FB,"6'0""",230,JR,2020-01-03
313,-9,Lakiem Williams,Syracuse,OLB,"6'0""",225,SR,2020-01-03
314,-9,Delontae Scott,SMU,EDGE,"6'5""",250,SR,2020-01-03
